,Unnamed: 0,地区,经度,纬度
94,1396,河南省新乡市　　　　　　,113.93360046733228,35.3096399303368
95,1408,河南省郑州市,113.63141920733915,34.75343885045448
96,1409,河南省平顶山市,113.19952856052156,33.772050748691015
97,1410,内蒙古赤峰市,118.8955203975195,42.2616861034116
98,1414,山东省临沂地区,117.02744162847857,36.674856650404905
99,1488,浙江省绍兴市,120.58547847885335,30.0363693113069
100,1581,黑龙江佳木斯市,130.327359092573,46.80568999085779
101,1614,上海市市辖区,121.48053886017651,31.235929042252014
102,1633,广西柳州地区,109.43442194634564,24.331961386852413
103,1710,山东省枣庄市,117.33054194483897,34.815994048435115
104,1728,四川省内江市,105.06458802499718,29.58588653832045
105,1847,甘肃省平凉地区,103.83247812812213,36.06546488736762
106,1855,云南省文山壮族苗族自治州,104.23854382746465,23.391944131908
